Progression & Acceleration (Grades 4–6),,,,,,,,,
"Advanced progression is permitted in mathematics, science, and social studies when mastery evidence and teacher interaction support readiness. English remains sequential.",,,,,,,,,
,,,,,,,,,
Forge Standard ID,Subject,Domain,Forge Standard,Prerequisite Anchor,Next Anchor,Acceleration Eligible,Readiness Evidence,Approval,Course-Level Rule
FF.G4.ELA.01,English Language Arts,Foundational Skills,Read fluently for meaning,Grade 3 fluency and decoding,Grade 5 fluency with increasingly complex text,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.02,English Language Arts,Language,Use standard grammar and usage,Grade 3 grammar and sentence conventions,"Grade 5 grammar, verb tense, and sentence complexity",No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.03,English Language Arts,Language,"Apply capitalization, punctuation, and spelling","Grade 3 capitalization, punctuation, and spelling",Grade 5 conventions and editing independence,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.04,English Language Arts,Vocabulary,Determine word meaning in context,Grade 3 context clues and affixes,Grade 5 Greek/Latin roots and nuanced context,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.05,English Language Arts,Vocabulary,Interpret figurative language and word relationships,Grade 3 literal/nonliteral meaning,Grade 5 figurative language and word nuance,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.06,English Language Arts,Vocabulary,Acquire academic and domain vocabulary,Grade 3 academic vocabulary,Grade 5 independent vocabulary acquisition,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.07,English Language Arts,Literature,Cite details and make inferences,Grade 3 text evidence,Grade 5 quoting accurately and inferring,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.08,English Language Arts,Literature,Determine theme and summarize,Grade 3 central message and recount,Grade 5 theme comparison and objective summary,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.09,English Language Arts,Literature,Analyze story elements,Grade 3 character traits and event sequence,Grade 5 comparison of story elements,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.10,English Language Arts,Literature,"Analyze literary craft, structure, and viewpoint","Grade 3 word meaning, parts of text, viewpoint","Grade 5 figurative language, structure, narrator perspective",No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.11,English Language Arts,Literature,Integrate representations and compare texts,Grade 3 illustration-text connections and theme comparison,Grade 5 multimedia analysis and genre comparison,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.12,English Language Arts,Informational Text,"Explain evidence, main idea, and relationships",Grade 3 informational evidence and main idea,Grade 5 multiple main ideas and relationships,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.13,English Language Arts,Informational Text,"Analyze informational craft, structure, and accounts",Grade 3 informational features and viewpoints,Grade 5 multiple accounts and complex structures,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.14,English Language Arts,Informational Text,Integrate visual evidence and multiple sources,Grade 3 image-text integration and reasons,Grade 5 multi-source synthesis and evidence analysis,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.15,English Language Arts,Reading Range,Read and comprehend grade-level literature and information,Grade 3 text complexity and stamina,Grade 5 text complexity and independence,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.16,English Language Arts,Speaking and Listening,Collaborate and evaluate spoken information,Grade 3 collaborative discussion and questioning,Grade 5 synthesis and discussion leadership,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
FF.G4.ELA.17,English Language Arts,Speaking and Listening,Present clearly with appropriate media and register,Grade 3 organized oral reports,Grade 5 evidence-rich presentation and adaptation,No,Mastery of essential standards demonstrated through multiple evidence types plus teacher interaction,Placement team recommendation; Head of School final decision,English 4 precedes English 5; no same-year English acceleration.
