Grade 6 Forge Standards Framework,,,,,,,,,,,,,,,,,,,,,,,
"Competency-sized outcomes with explicit source alignment, evidence expectations, and vertical progression. Filterable working draft.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G6.ELA.01,6,Grades 6–8,English Language Arts,Language,Use standard grammar and usage,"Explain and use pronoun case, intensive pronouns, pronoun-antecedent agreement, phrases, clauses, and varied sentence types.","I can explain and use pronoun case, intensive pronouns, pronoun-antecedent agreement, phrases, clauses, and varied sentence types.","How does use standard grammar and usage help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.L.CSE.1,CCSS.ELA-LITERACY.L.6.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for use standard grammar and usage.,"Grade 5 grammar, verb tense, and sentence cohesion","Grade 7 phrases, clauses, and effectively placed modifiers",Edit an authentic draft and explain grammar revisions,TN ELA PDF p.21; CCSS ELA Grade 6 L,Draft—Head of School Review,Head of School,8
FF.G6.ELA.02,6,Grades 6–8,English Language Arts,Language,"Apply capitalization, punctuation, and spelling","Use commas, parentheses, and dashes to set off parenthetical elements and apply grade-appropriate capitalization and spelling.","I can use commas, parentheses, and dashes to set off parenthetical elements and apply grade-appropriate capitalization and spelling.","How does apply capitalization, punctuation, and spelling help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.L.CSE.2,CCSS.ELA-LITERACY.L.6.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 6 expectations are directly aligned for apply capitalization, punctuation, and spelling.","Grade 5 punctuation for series, introductions, and direct address",Grade 7 punctuation for coordinate adjectives,Publish a revised piece with an annotated conventions checklist,TN ELA PDF p.22; CCSS ELA Grade 6 L,Draft—Head of School Review,Head of School,8
FF.G6.ELA.03,6,Grades 6–8,English Language Arts,Language,Vary sentence patterns and maintain style,Vary sentence patterns for meaning and reader interest while maintaining consistent style and tone.,I can vary sentence patterns for meaning and reader interest while maintaining consistent style and tone.,"How does vary sentence patterns and maintain style help a reader, writer, speaker, or researcher communicate meaning?",Supporting,6.L.KL.3,CCSS.ELA-LITERACY.L.6.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for vary sentence patterns and maintain style.,Grade 5 cohesive paragraphs and purposeful sentence combining,"Grade 7 precise, concise language","Revise one passage for sentence variety, style, and tone",TN ELA PDF p.23; CCSS ELA Grade 6 L,Draft—Head of School Review,Head of School,8
FF.G6.ELA.04,6,Grades 6–8,English Language Arts,Vocabulary,Determine word meaning in context,"Use context, morphology, print and digital references, and etymological patterns to determine precise meanings.","I can use context, morphology, print and digital references, and etymological patterns to determine precise meanings.","How does determine word meaning in context help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.L.VAU.4,CCSS.ELA-LITERACY.L.6.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for determine word meaning in context.,"Grade 5 context, Greek and Latin roots, and references","Grade 7 flexible context, morphology, reference, and etymology strategies",Vocabulary analysis using four different strategies,TN ELA PDF p.24; CCSS ELA Grade 6 L,Draft—Head of School Review,Head of School,8
FF.G6.ELA.05,6,Grades 6–8,English Language Arts,Vocabulary,Interpret figurative language and word relationships,"Explain and use figurative language, word relationships, connotation, and denotation in reading, writing, speaking, and listening.","I can explain and use figurative language, word relationships, connotation, and denotation in reading, writing, speaking, and listening.","How does interpret figurative language and word relationships help a reader, writer, speaker, or researcher communicate meaning?",Supporting,6.L.VAU.5,CCSS.ELA-LITERACY.L.6.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for interpret figurative language and word relationships.,"Grade 5 figurative language, idioms, proverbs, and nuance",Grade 7 analysis of figurative and connotative effects,Analyze and revise language choices in a short text,TN ELA PDF p.25; CCSS ELA Grade 6 L,Draft—Head of School Review,Head of School,8
FF.G6.ELA.06,6,Grades 6–8,English Language Arts,Vocabulary,Acquire academic and domain vocabulary,Accurately use Grade 6 academic and domain-specific vocabulary and independently develop vocabulary knowledge.,I can accurately use Grade 6 academic and domain-specific vocabulary and independently develop vocabulary knowledge.,"How does acquire academic and domain vocabulary help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.L.VAU.6,CCSS.ELA-LITERACY.L.6.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for acquire academic and domain vocabulary.,Grade 5 academic vocabulary and logical relationships,Grade 7 independent vocabulary development across disciplines,Use a curated word bank accurately in an explanatory product,TN ELA PDF p.26; CCSS ELA Grade 6 L,Draft—Head of School Review,Head of School,8
FF.G6.ELA.07,6,Grades 6–8,English Language Arts,Literature,Cite evidence and make inferences,Cite textual evidence to explain explicit meaning and support logical inferences from literary text.,I can cite textual evidence to explain explicit meaning and support logical inferences from literary text.,"How does cite evidence and make inferences help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.RL.KID.1,CCSS.ELA-LITERACY.RL.6.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for cite evidence and make inferences.,Grade 5 accurate quotation and inference,Grade 7 several pieces of relevant textual evidence,Evidence-based response plus oral defense,TN ELA PDF p.29; CCSS ELA Grade 6 RL,Draft—Head of School Review,Head of School,8
FF.G6.ELA.08,6,Grades 6–8,English Language Arts,Literature,Analyze theme development and summarize,"Determine a theme, analyze its development across a text, and provide an objective summary.","I can determine a theme, analyze its development across a text, and provide an objective summary.","How does analyze theme development and summarize help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.RL.KID.2,CCSS.ELA-LITERACY.RL.6.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for analyze theme development and summarize.,Grade 5 theme conveyed through details,Grade 7 theme development across a text,Theme-development map and objective summary,TN ELA PDF p.30; CCSS ELA Grade 6 RL,Draft—Head of School Review,Head of School,8
FF.G6.ELA.09,6,Grades 6–8,English Language Arts,Literature,Analyze plot and character response,Describe how plot unfolds and how characters respond or change as events move toward resolution.,I can describe how plot unfolds and how characters respond or change as events move toward resolution.,"How does analyze plot and character response help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.RL.KID.3,CCSS.ELA-LITERACY.RL.6.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for analyze plot and character response.,Grade 5 comparison of story elements,Grade 7 interaction among story elements,Plot-and-character change analysis with cited evidence,TN ELA PDF p.31; CCSS ELA Grade 6 RL,Draft—Head of School Review,Head of School,8
FF.G6.ELA.10,6,Grades 6–8,English Language Arts,Literature,"Analyze literary craft, structure, and viewpoint","Analyze word meaning and connotation, structural contributions, and how an author establishes the narrator’s or speaker’s point of view.","I can analyze word meaning and connotation, structural contributions, and how an author establishes the narrator’s or speaker’s point of view.","How does analyze literary craft, structure, and viewpoint help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.RL.CS.4; 6.RL.CS.5; 6.RL.CS.6,CCSS.ELA-LITERACY.RL.6.4; CCSS.ELA-LITERACY.RL.6.5; CCSS.ELA-LITERACY.RL.6.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 6 expectations are directly aligned for analyze literary craft, structure, and viewpoint.","Grade 5 figurative language, structure, and narrator perspective","Grade 7 sound, form, structure, and contrasting viewpoints",Comparative craft commentary on two literary passages,TN ELA PDF pp.33–35; CCSS ELA Grade 6 RL,Draft—Head of School Review,Head of School,12
