NSQ Online Course Alignment,,,,,,
"2025 edition institutional evidence register. Status fields are prelaunch design commitments, not claims of completed implementation.",,,,,,
,,,,,,
Indicator,Official Indicator Summary,Forge Design Evidence / Requirement,Evidence Artifact,Owner,Status,Final Approver
A1,A course overview and syllabus are included in the course.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
A2,Minimum computer skills and digital literacy skills expected of the learner are clearly stated.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
A3,The instructor’s biographical information and information on how to communicate with the instructor are provided.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
A4,Learner expectations and policies are clearly stated and readily accessible within the introductory material of the course.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
A5,"Minimum technology requirements for the course are clearly stated, and information on how to obtain the technologies is provided.",Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
A6,Grading policies and practices are clearly defined in accordance with course content learning expectations.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
A7,The course instructions articulate or link to a clear description of the technical support offer ed and how to obtain it.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
A8,Learners are offered an orientation prior to the start of the course.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
B1,The course objectives or competencies are measurable and clearly state what the learner will be able to demonstrate as a result of successfully completing the course.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
B2,"Where applicable, the course content is aligned with accepted state and/or other accepted content standards.",Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
B3,Digital literacy and communication skills are incorporated and taught as an integral part of the curriculum.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
B4,Supplemental learning resources and related instructional materials are available to support and enrich learning and are aligned with the content delivered.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
B5,The course content and supporting materials reflect different perspectives and provide non- stereotypical forms of representation.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
B6,The course materials (e.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
B7,The course is free of adult content and avoids unnecessary advertisements.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
B8,Copyright and licensing status for any third-party content is appropriately cited and easily found.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
B9,Documentation and other support materials are available to support effective online course facilitation.,Apply during course design and internal review; document objective-content-activity-assessment alignment and learner access.,"Course design template, standards map, accessibility review, assessment plan, course review record",EdTech Curriculum Lead + Head of School,Planned—Prelaunch,Head of School
