Grade 5 Forge Standards Framework,,,,,,,,,,,,,,,,,,,,,,,
"Competency-sized outcomes with explicit source alignment, evidence expectations, and vertical progression. Filterable working draft.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G5.ELA.01,5,Grades 4–5,English Language Arts,Foundational Skills,Read fluently for meaning,"Read Grade 5 text accurately, at an appropriate rate, and with expression that supports comprehension.","I can read Grade 5 text accurately, at an appropriate rate, and with expression that supports comprehension.","How does read fluently for meaning help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.FL.F.5,CCSS.ELA-LITERACY.RF.5.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for read fluently for meaning.,Grade 4 fluency and self-correction,Grade 6 comprehension of increasingly complex text,"Recorded reading with accuracy, rate, expression, and comprehension evidence",TN ELA PDF p.13; CCSS ELA Grade 5 RF,Draft—Head of School Review,Head of School,8
FF.G5.ELA.02,5,Grades 4–5,English Language Arts,Language,Use standard grammar and usage,"Use conjunctions, prepositions, interjections, perfect verb tenses, consistent verb tense, and correlative conjunctions in speaking and writing.","I can use conjunctions, prepositions, interjections, perfect verb tenses, consistent verb tense, and correlative conjunctions in speaking and writing.","How does use standard grammar and usage help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.FL.SC.6,CCSS.ELA-LITERACY.L.5.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for use standard grammar and usage.,Grade 4 grammar and sentence conventions,"Grade 6 pronoun case, phrases, clauses, and sentence types",Edit an authentic draft and explain grammar revisions,TN ELA PDF p.14; CCSS ELA Grade 5 L,Draft—Head of School Review,Head of School,8
FF.G5.ELA.03,5,Grades 4–5,English Language Arts,Language,"Apply capitalization, punctuation, and spelling","Use grade-appropriate punctuation for series, introductory elements, direct address, and titles, and spell accurately in finished work.","I can use grade-appropriate punctuation for series, introductory elements, direct address, and titles, and spell accurately in finished work.","How does apply capitalization, punctuation, and spelling help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.FL.SC.6,CCSS.ELA-LITERACY.L.5.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 5 expectations are directly aligned for apply capitalization, punctuation, and spelling.","Grade 4 capitalization, quotations, and compound-sentence punctuation",Grade 6 punctuation for parenthetical elements,Publish a revised multi-paragraph piece with an annotated editing checklist,TN ELA PDF p.14; CCSS ELA Grade 5 L,Draft—Head of School Review,Head of School,8
FF.G5.ELA.04,5,Grades 4–5,English Language Arts,Vocabulary,Determine word meaning in context,"Use context, Greek and Latin roots and affixes, and print or digital references to determine precise word meanings.","I can use context, Greek and Latin roots and affixes, and print or digital references to determine precise word meanings.","How does determine word meaning in context help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.FL.VA.7a,CCSS.ELA-LITERACY.L.5.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for determine word meaning in context.,Grade 4 flexible context and morphology strategies,"Grade 6 context, morphology, reference, and etymology strategies",Vocabulary think-aloud using three different strategies,TN ELA PDF p.16; CCSS ELA Grade 5 L,Draft—Head of School Review,Head of School,8
FF.G5.ELA.05,5,Grades 4–5,English Language Arts,Vocabulary,Interpret figurative language and word relationships,"Interpret similes, metaphors, idioms, proverbs, word relationships, and nuances in meaning.","I can interpret similes, metaphors, idioms, proverbs, word relationships, and nuances in meaning.","How does interpret figurative language and word relationships help a reader, writer, speaker, or researcher communicate meaning?",Supporting,5.FL.VA.7b,CCSS.ELA-LITERACY.L.5.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for interpret figurative language and word relationships.,Grade 4 figurative language and word nuance,"Grade 6 connotation, denotation, and figures of speech",Create and explain a figurative-language mini anthology,TN ELA PDF p.16; CCSS ELA Grade 5 L,Draft—Head of School Review,Head of School,8
FF.G5.ELA.06,5,Grades 4–5,English Language Arts,Vocabulary,Acquire academic and domain vocabulary,"Use Grade 5 academic and domain-specific vocabulary accurately, including words that signal logical relationships.","I can use Grade 5 academic and domain-specific vocabulary accurately, including words that signal logical relationships.","How does acquire academic and domain vocabulary help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.FL.VA.7c,CCSS.ELA-LITERACY.L.5.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for acquire academic and domain vocabulary.,Grade 4 academic vocabulary,Grade 6 independent vocabulary development,Use a curated word bank accurately in an explanatory product,TN ELA PDF p.16; CCSS ELA Grade 5 L,Draft—Head of School Review,Head of School,8
FF.G5.ELA.07,5,Grades 4–5,English Language Arts,Literature,Quote accurately and make inferences,Quote accurately from literary text to explain explicit meaning and support inferences.,I can quote accurately from literary text to explain explicit meaning and support inferences.,"How does quote accurately and make inferences help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.RL.KID.1,CCSS.ELA-LITERACY.RL.5.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for quote accurately and make inferences.,"Grade 4 details, examples, and inferences",Grade 6 cited textual evidence and inference,Evidence-based response plus teacher conference,TN ELA PDF p.29; CCSS ELA Grade 5 RL,Draft—Head of School Review,Head of School,8
FF.G5.ELA.08,5,Grades 4–5,English Language Arts,Literature,Determine theme and summarize,"Determine a theme from details, including how characters respond to challenges, and summarize objectively.","I can determine a theme from details, including how characters respond to challenges, and summarize objectively.","How does determine theme and summarize help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.RL.KID.2,CCSS.ELA-LITERACY.RL.5.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for determine theme and summarize.,Grade 4 theme and summary,Grade 6 theme development across a text,Theme evidence map and objective summary,TN ELA PDF p.30; CCSS ELA Grade 5 RL,Draft—Head of School Review,Head of School,8
FF.G5.ELA.09,5,Grades 4–5,English Language Arts,Literature,Compare story elements,"Compare and contrast two or more characters, settings, or events using specific details.","I can compare and contrast two or more characters, settings, or events using specific details.","How does compare story elements help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.RL.KID.3,CCSS.ELA-LITERACY.RL.5.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for compare story elements.,Grade 4 in-depth description of story elements,Grade 6 plot development and character response,"Comparative character, setting, or event analysis",TN ELA PDF p.31; CCSS ELA Grade 5 RL,Draft—Head of School Review,Head of School,8
FF.G5.ELA.10,5,Grades 4–5,English Language Arts,Literature,"Analyze literary craft, structure, and viewpoint","Interpret figurative language, explain how chapters, scenes, or stanzas shape structure, and describe how narrator or speaker perspective affects events.","I can interpret figurative language, explain how chapters, scenes, or stanzas shape structure, and describe how narrator or speaker perspective affects events.","How does analyze literary craft, structure, and viewpoint help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.RL.CS.4; 5.RL.CS.5; 5.RL.CS.6,CCSS.ELA-LITERACY.RL.5.4; CCSS.ELA-LITERACY.RL.5.5; CCSS.ELA-LITERACY.RL.5.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 5 expectations are directly aligned for analyze literary craft, structure, and viewpoint.","Grade 4 literary word choice, structure, and viewpoint","Grade 6 connotation, structural contribution, and point-of-view development",Comparative craft commentary on two short texts,TN ELA PDF pp.33–35; CCSS ELA Grade 5 RL,Draft—Head of School Review,Head of School,12
